subject_id,group_id,question_id,s1_value,s1_confidence,s3_value,s3_confidence,n_number_en_s1,n_fermi_whitelist,n_interventions,n_words
182,60,1,40.0,1.0,40.0,3.0,,,,
182,60,2,500.0,1.0,500.0,3.0,,,,
182,60,3,15000000.0,1.0,500.0,3.0,0.0,0.0,4.0,20.0
182,60,4,20000.0,1.0,10000.0,3.0,0.0,3.0,8.0,54.0
182,60,5,12.0,2.0,40.0,3.0,3.0,0.0,5.0,37.0
182,60,6,6.0,3.0,6.0,3.0,,,,
182,60,7,120.0,1.0,200.0,3.0,1.0,3.0,8.0,50.0
182,60,8,12.0,3.0,12.0,3.0,,,,
183,60,1,70.0,2.0,85.0,3.0,,,,
183,60,2,500.0,3.0,400.0,3.0,,,,
183,60,3,350.0,3.0,470.0,3.0,1.0,2.0,9.0,65.0
183,60,4,25000.0,1.0,11000.0,3.0,0.0,2.0,7.0,69.0
183,60,5,29.0,3.0,42.0,4.0,5.0,2.0,10.0,74.0
183,60,6,7.0,2.0,6.0,1.0,,,,
183,60,7,75.0,1.0,205.0,3.0,0.0,0.0,6.0,37.0
183,60,8,87.0,3.0,87.0,2.0,,,,
184,60,1,100.0,3.0,100.0,3.0,,,,
184,60,2,200.0,3.0,200.0,3.0,,,,
184,60,3,100.0,3.0,500.0,3.0,2.0,3.0,13.0,94.0
184,60,4,8000.0,3.0,10000.0,4.0,0.0,5.0,14.0,103.0
184,60,5,50.0,2.0,50.0,3.0,3.0,0.0,7.0,63.0
184,60,6,5.0,3.0,5.0,3.0,,,,
184,60,7,150.0,4.0,200.0,4.0,1.0,2.0,10.0,64.0
184,60,8,40.0,3.0,40.0,3.0,,,,
185,60,1,95.0,2.0,95.0,2.0,,,,
185,60,2,2500.0,2.0,2500.0,2.0,,,,
185,60,3,600.0,3.0,550.0,4.0,2.0,10.0,28.0,129.0
185,60,4,25000.0,3.0,10.0,4.0,0.0,10.0,21.0,106.0
185,60,5,45.0,1.0,40.0,3.0,4.0,0.0,22.0,121.0
185,60,6,20.0,3.0,16.0,3.0,,,,
185,60,7,245.0,4.0,200.0,5.0,1.0,1.0,21.0,108.0
185,60,8,160.0,4.0,170.0,4.0,,,,
203,69,1,20.0,1.0,171.0,3.0,0.0,0.0,4.0,11.0
203,69,2,200.0,3.0,210.0,3.0,1.0,0.0,2.0,8.0
203,69,3,600.0,3.0,430.0,3.0,,,,
203,69,4,100.0,1.0,100.0,1.0,,,,
203,69,5,25.0,1.0,55.0,2.0,2.0,0.0,4.0,16.0
203,69,6,15.0,3.0,20.0,2.0,,,,
203,69,7,150.0,2.0,236.0,4.0,,,,
203,69,8,13.0,1.0,7.0,5.0,0.0,0.0,3.0,16.0
210,69,1,50.0,2.0,,,1.0,0.0,3.0,10.0
210,69,2,200.0,1.0,,,1.0,0.0,5.0,20.0
210,69,3,200.0,2.0,,,,,,
210,69,4,230.0,1.0,,,,,,
210,69,5,10.0,1.0,,,2.0,1.0,3.0,21.0
210,69,6,25.0,3.0,,,,,,
210,69,7,100.0,2.0,,,,,,
210,69,8,55.0,2.0,,,2.0,0.0,3.0,16.0
212,69,1,171.0,5.0,,,2.0,0.0,4.0,17.0
212,69,2,20.0,2.0,,,0.0,0.0,3.0,11.0
212,69,3,422.0,4.0,,,,,,
212,69,4,9700.0,3.0,,,,,,
212,69,5,3.0,2.0,,,0.0,0.0,3.0,9.0
212,69,6,60.0,3.0,,,,,,
212,69,7,10.0,4.0,,,,,,
212,69,8,7.0,3.0,,,3.0,0.0,5.0,27.0
219,69,1,40.0,2.0,171.0,4.0,2.0,0.0,6.0,21.0
219,69,2,,,207.0,4.0,0.0,0.0,5.0,26.0
219,69,3,422.0,4.0,422000000.0,3.0,,,,
219,69,4,80000.0,3.0,80000.0,3.0,,,,
219,69,5,10.0,1.0,40.0,2.0,5.0,1.0,7.0,34.0
219,69,6,12.0,3.0,20.0,3.0,,,,
219,69,7,60.0,3.0,200.0,4.0,,,,
219,69,8,7.0,3.0,7.0,4.0,2.0,0.0,4.0,9.0
226,70,1,40.0,3.0,170.0,4.0,0.0,5.0,8.0,56.0
226,70,2,300.0,3.0,210.0,4.0,0.0,1.0,8.0,34.0
226,70,3,250.0,4.0,450.0,4.0,1.0,8.0,13.0,59.0
226,70,4,12000.0,4.0,120000.0,4.0,,,,
226,70,5,10.0,3.0,20.0,3.0,,,,
226,70,6,20.0,4.0,15.0,5.0,,,,
226,70,7,238.0,5.0,238.0,5.0,,,,
226,70,8,100.0,3.0,50.0,4.0,0.0,8.0,9.0,72.0
